3/21/2025 8:41:38 PM
S7
S7

Sensitivity1
Amplitude0
Time Constant1
Frequency17
Phase0
Range2
Slope3
Dynamic Reserve0
Filter0
Reference
signal source0
Edge1
SIG
Input1
Coupling0
Ground0
IV Gain0
Impedance0
TEMPERATURE A (K)	TEMPERATURE B (K)	PHASE OF AC CURRENT (Hz)	FREQUENCY OF AC CURRENT (Hz)	AMPLTUDE OF AC CURRENT (A)	X	Y	R	theta	
301.2900000000	304.0200000000	0	0	0	0.0000006668	6.7101290000	0.0000003349	-21.1966450000	
301.2900000000	304.3100000000	0.0000000000	17.0000000000	0.0000000010	0.0000031739	84.1469138000	0.0001239631	0.0458854300	
301.2900000000	304.3000000000	0.0000000000	17.0000000000	0.0000000210	0.0000043366	46.8758950000	0.0025992068	0.0116260239	
301.2900000000	304.2500000000	0.0000000000	17.0000000000	0.0000000410	0.0000089591	91.8426770000	0.0050799519	0.0276073620	
301.2900000000	304.3000000000	0.0000000000	17.0000000000	0.0000000610	0.0000170359	131.0613875000	0.0075521920	-0.0478045290	
301.2900000000	304.3700000000	0.0000000000	17.0000000000	0.0000000810	0.0000308932	124.6204200000	0.0100293265	-0.0109408792	
301.2900000000	304.3900000000	0.0000000000	17.0000000000	0.0000001010	0.0000461684	124.9930300000	0.0125046430	-0.0198225425	
301.2900000000	304.3900000000	0.0000000000	17.0000000000	0.0000001210	0.0000596700	121.1821000000	0.0149801565	-0.0018540348	
301.2900000000	304.3400000000	0.0000000000	17.0000000000	0.0000001410	0.0000830076	119.2771200000	0.0174539920	-0.0078432059	
301.2900000000	304.4100000000	0.0000000000	17.0000000000	0.0000001610	0.0001080573	114.3576550000	0.0199297925	0.0123518706	
301.2900000000	304.4000000000	0.0000000000	17.0000000000	0.0000001810	0.0001342549	112.7708300000	0.0223937170	-0.0095086299	
301.2900000000	304.4500000000	0.0000000000	17.0000000000	0.0000002010	0.0001596739	110.2211450000	0.0248523345	-0.0012639071	
301.2900000000	304.4400000000	0.0000000000	17.0000000000	0.0000002210	0.0001851115	106.9616100000	0.0273069650	-0.0116634155	
301.2900000000	304.4200000000	0.0000000000	17.0000000000	0.0000002410	0.0002148320	103.3955735000	0.0297784175	-0.0139772802	
301.2900000000	304.4300000000	0.0000000000	17.0000000000	0.0000002610	0.0002498209	99.7601080000	0.0322484225	-0.0114510088	
301.2900000000	304.4700000000	0.0000000000	17.0000000000	0.0000002810	0.0002855150	95.6373830000	0.0347162080	-0.0117817259	
301.2900000000	304.4600000000	0.0000000000	17.0000000000	0.0000003010	0.0003253951	91.4232610000	0.0371851380	-0.0067821815	
301.2900000000	304.4300000000	0.0000000000	17.0000000000	0.0000003210	0.0003667802	87.3766680000	0.0396472935	-0.0029647879	
301.2900000000	304.3800000000	0.0000000000	17.0000000000	0.0000003410	0.0004039211	83.3589070000	0.0421087570	-0.0035809751	
301.2900000000	304.4200000000	0.0000000000	17.0000000000	0.0000003610	0.0004501807	80.3597495000	0.0445805390	-0.0100187016	
301.2900000000	304.4600000000	0.0000000000	17.0000000000	0.0000003810	0.0005018033	75.7034330000	0.0470354665	0.0095752831	
301.2900000000	304.4700000000	0.0000000000	17.0000000000	0.0000004010	0.0005445245	72.0920670000	0.0494875630	-0.0307182455	
301.2900000000	304.4300000000	0.0000000000	17.0000000000	0.0000004210	0.0006068290	69.0618150000	0.0519457120	-0.0013120274	
301.2900000000	304.4900000000	0.0000000000	17.0000000000	0.0000004410	0.0006672119	65.7437995000	0.0544139980	-0.0130400825	
301.2900000000	304.4100000000	0.0000000000	17.0000000000	0.0000004610	0.0007281874	62.8998145000	0.0568744070	-0.0204380510	
301.2900000000	304.5000000000	0.0000000000	17.0000000000	0.0000004810	0.0007889452	59.3507350000	0.0593243030	-0.0075513464	
301.2900000000	304.5000000000	0.0000000000	17.0000000000	0.0000005010	0.0008714048	56.3841405000	0.0617757115	0.0045396382	
301.2900000000	304.4800000000	0.0000000000	17.0000000000	0.0000005210	0.0009438251	54.0910015000	0.0642371735	-0.0076232977	
301.2900000000	304.4600000000	0.0000000000	17.0000000000	0.0000005410	0.0010194331	51.1945935000	0.0667153875	0.0142462799	
301.2900000000	304.4700000000	0.0000000000	17.0000000000	0.0000005610	0.0011137570	48.2200815000	0.0691802975	-1.2018160500	
301.2900000000	304.3400000000	0.0000000000	17.0000000000	0.0000005810	0.0011906497	46.7792655000	0.0715902590	-0.0085654222	
301.2900000000	304.4400000000	0.0000000000	17.0000000000	0.0000006010	0.0012984624	44.0627910000	0.0740765575	-1.2592556000	
301.2900000000	304.4700000000	0.0000000000	17.0000000000	0.0000006210	0.0014101873	42.0126430000	0.0765305710	0.0132341579	
301.2900000000	304.3900000000	0.0000000000	17.0000000000	0.0000006410	0.0015095346	39.5261995000	0.0789971215	-1.0076794550	
301.2900000000	304.4400000000	0.0000000000	17.0000000000	0.0000006610	0.0016263137	38.1198170000	0.0814578735	-0.3602180000	
301.2900000000	304.4100000000	0.0000000000	17.0000000000	0.0000006810	0.0017408880	36.8063450000	0.0839190950	0.0102608467	
301.2900000000	304.4100000000	0.0000000000	17.0000000000	0.0000007010	0.0018572905	34.6827830000	0.0863982535	0.0028909767	
301.2900000000	304.4800000000	0.0000000000	17.0000000000	0.0000007210	0.0019585660	33.7785475000	0.0888801435	-0.3285487250	
301.2900000000	304.4400000000	0.0000000000	17.0000000000	0.0000007410	0.0020699335	32.8500125000	0.0913478830	0.0064118601	
301.2900000000	304.4000000000	0.0000000000	17.0000000000	0.0000007610	0.0022166239	31.1261180000	0.0937945055	0.0034688503	
301.2900000000	304.3200000000	0.0000000000	17.0000000000	0.0000007810	0.0023709165	30.0941405000	0.0962064345	-0.0136371760	
301.2900000000	304.4600000000	0.0000000000	17.0000000000	0.0000008010	0.0024890406	29.4158130000	0.0987204930	0.0030581790	
301.2900000000	304.4100000000	0.0000000000	17.0000000000	0.0000008210	0.0026524789	27.7194195000	0.1011448700	0.0143289765	
301.2900000000	304.4900000000	0.0000000000	17.0000000000	0.0000008410	0.0027816536	26.8385770000	0.1036230200	-0.0025482242	
301.2900000000	304.4100000000	0.0000000000	17.0000000000	0.0000008610	0.0029214795	25.8413215000	0.1060529300	0.0027139253	
301.2800000000	304.4300000000	0.0000000000	17.0000000000	0.0000008810	0.0030594675	25.0984260000	0.1085507250	0.0035061749	
301.2800000000	304.3900000000	0.0000000000	17.0000000000	0.0000009010	0.0031896671	24.5374930000	0.1110111100	-1.1156765500	
301.2800000000	304.4500000000	0.0000000000	17.0000000000	0.0000009210	0.0033457425	23.3789680000	0.1134354350	-0.0028784961	
301.2800000000	304.3200000000	0.0000000000	17.0000000000	0.0000009410	0.0034867716	22.8797785000	0.1159544250	-0.0107178766	
301.2800000000	304.3400000000	0.0000000000	17.0000000000	0.0000009610	0.0036333132	22.3214975000	0.1184161350	-0.0025796811	
301.2800000000	304.4100000000	0.0000000000	17.0000000000	0.0000009810	0.0037546367	21.2032430000	0.1208734050	-0.0014465402	
301.2800000000	304.3400000000	0.0000000000	17.0000000000	0.0000010010	0.0039085990	20.7899910000	0.1234445950	0.0078904036	
301.2800000000	304.3900000000	0.0000000000	17.0000000000	0.0000010210	0.0040422556	20.6674120000	0.1259134500	-0.0015384730	
301.2800000000	304.3600000000	0.0000000000	17.0000000000	0.0000010410	0.0042044688	19.6652365000	0.1283870850	0.0019456071	
301.2800000000	304.3400000000	0.0000000000	17.0000000000	0.0000010610	0.0043732805	19.0038635000	0.1307926150	-0.0095772526	
301.2800000000	304.2900000000	0.0000000000	17.0000000000	0.0000010810	0.0045118554	18.7869415000	0.1333302450	0.0130358753	
301.2800000000	304.3600000000	0.0000000000	17.0000000000	0.0000011010	0.0046833206	18.0027755000	0.1358153350	-0.0049006289	
301.2800000000	304.2900000000	0.0000000000	17.0000000000	0.0000011210	0.0047704439	17.6941505000	0.1383663500	0.0036094230	
301.2800000000	304.3000000000	0.0000000000	17.0000000000	0.0000011410	0.0049065738	17.2060020000	0.1408198150	-0.0037230816	
301.2800000000	304.3200000000	0.0000000000	17.0000000000	0.0000011610	0.0050281076	16.5438580000	0.1432785000	0.0036772497	
301.2800000000	304.3600000000	0.0000000000	17.0000000000	0.0000011810	0.0051804665	16.0543695000	0.1457469500	0.0052101737	
301.2800000000	304.2800000000	0.0000000000	17.0000000000	0.0000012010	0.0053035001	16.0057175000	0.1482958700	-0.8044531650	
301.2800000000	304.3500000000	0.0000000000	17.0000000000	0.0000012210	0.0054209200	15.2869775000	0.1507932250	0.0061448399	
301.2800000000	304.3200000000	0.0000000000	17.0000000000	0.0000012410	0.0055780808	14.9283000000	0.1533043750	0.0039515306	
301.2800000000	304.3500000000	0.0000000000	17.0000000000	0.0000012610	0.0057058021	14.3707290000	0.1557920800	-0.0022455115	
301.2800000000	304.3400000000	0.0000000000	17.0000000000	0.0000012810	0.0058364376	14.3717145000	0.1582671250	-0.0005457374	
301.2800000000	304.2700000000	0.0000000000	17.0000000000	0.0000013010	0.0059880071	13.9761760000	0.1607735150	0.0114659043	
301.2800000000	304.2500000000	0.0000000000	17.0000000000	0.0000013210	0.0060365094	13.7276715000	0.1633655250	-0.0034859661	
301.2800000000	304.2900000000	0.0000000000	17.0000000000	0.0000013410	0.0061797366	13.0529090000	0.1658731750	0.0011194866	
301.2800000000	304.2900000000	0.0000000000	17.0000000000	0.0000013610	0.0063079211	13.0651850000	0.1683992150	-0.0054043741	
301.2800000000	304.2100000000	0.0000000000	17.0000000000	0.0000013810	0.0064602254	12.3883095000	0.1708663750	-0.0031798587	
301.2800000000	304.2200000000	0.0000000000	17.0000000000	0.0000014010	0.0066176253	12.1196605000	0.1733854850	-0.0092099830	
301.2800000000	304.2500000000	0.0000000000	17.0000000000	0.0000014210	0.0067508313	11.5270815000	0.1759343600	0.0084643207	
301.2800000000	304.3300000000	0.0000000000	17.0000000000	0.0000014410	0.0069172647	11.5121225000	0.1783789800	-0.0052546901	
301.2800000000	304.3400000000	0.0000000000	17.0000000000	0.0000014610	0.0070223258	11.1246800000	0.1808766350	0.0114719969	
301.2800000000	304.3600000000	0.0000000000	17.0000000000	0.0000014810	0.0071905714	10.8968014000	0.1834043900	-0.7220521350	
3/21/2025 8:56:22 PM
